"office","chamber","party","state","bioguide"
"Kucinich, Rep. Dennis","House","Democrat","OH","K000336"
"Langevin, Rep. Jim","House","Democrat","RI","L000559"
"Larsen, Rep. Rick","House","Democrat","WA","L000560"
"Smith, Rep. Adam","House","Democrat","WA","L000560"
"Larson, Rep. John","House","Democrat","CT","L000557"
"Latham, Rep. Tom","House","Republican","IA","L000111"
"LaTourette, Rep. Steve","House","Republican","OH","L000553"
"Lee, Rep. Barbara Jean","House","Democrat","CA","L000551"
"Lewis, Rep. John","House","Democrat","GA","L000287"
"LoBiondo, Rep. Frank","House","Republican","NJ","L000554"
"Lofgren, Rep. Zoe","House","Democrat","CA","L000397"
"Lowey, Rep. Nita","House","Democrat","NY","L000480"
"Manzullo, Rep. Donald","House","Republican","IL","M001138"
"Matheson, Rep. Jim","House","Democrat","UT","M001142"
"McCarthy, Rep. Carolyn Cook","House","Democrat","NY","M000309"
"McCollum, Rep. Betty","House","Democrat","MN","M001143"
"McCotter, Rep. Thad","House","Republican","MI","M001147"
"McDermott, Rep. Jim","House","Democrat","WA","M000404"
"McGovern, Rep. Jim","House","Democrat","MA","M000312"
"McIntyre, Rep. Mike","House","Democrat","NC","M000485"
"McKeon, Rep. Buck","House","Republican","CA","M000508"
"Meeks, Rep. Gregory","House","Democrat","NY","M001137"
"Mica, Rep. John","House","Republican","FL","M000689"
"Michaud, Rep. Mike","House","Democrat","ME","M001149"
"Miller, Rep. George","House","Democrat","CA","M000725"
"Thompson, Rep. G.T.","House","Republican","FL","M001144"
"Miller, Rep. Jeff","House","Republican","FL","M001144"
"Miller, Rep. Brad","House","Democrat","NC","M001154"
"Moran, Rep. Jim","House","Democrat","VA","M000933"
"Moran, Sen. Jerry","Senate","Republican","KS","M000934"
"Murphy, Rep. Tim","House","Republican","PA","M001151"
"Myrick, Rep. Sue","House","Republican","NC","M001134"
"Nadler, Rep. Jerry","House","Democrat","NY","N000002"
"Napolitano, Rep. Grace","House","Democrat","CA","N000179"
"Neal, Rep. Richard","House","Democrat","MA","N000015"
"Norton, Rep. Eleanor Holmes","House","Democrat","DC","N000147"
"Nunes, Rep. Devin","House","Republican","CA","N000181"
"Olver, Rep. John","House","Democrat","MA","O000085"
"Pallone, Rep. Frank","House","Democrat","NJ","P000034"
"Pascrell, Rep. Bill","House","Democrat","NJ","P000096"
"Pastor, Rep. Ed","House","Democrat","AZ","P000099"
"Paul, Rep. Ron","House","Republican","TX","P000583"
"Payne, Rep. Don","House","Democrat","NJ","P000149"
"Manchin, Sen. Joe","Senate","Republican","NM","P000588"
"Pearce, Rep. Steve","House","Republican","NM","P000588"
"Pelosi, Rep. Nancy","House","Democrat","CA","P000197"
"Pence, Rep. Mike","House","Republican","IN","P000587"
"Peterson, Rep. Collin","House","Democrat","MN","P000258"
"Petri, Rep. Tom","House","Republican","WI","P000265"
"Pitts, Rep. Joe","House","Republican","PA","P000373"
"Platts, Rep. Todd","House","Republican","PA","P000585"
"Portman, Sen. Rob","Senate","Republican","OH","P000449"
"Price, Rep. David","House","Democrat","NC","P000523"
"Rahall, Rep. Nick","House","Democrat","WV","R000011"
"Rangel, Rep. Charlie","House","Democrat","NY","R000053"
"Rehberg, Rep. Denny","House","Republican","MT","R000571"
"Reyes, Rep. Silvestre","House","Democrat","TX","R000170"
"Rogers, Rep. Hal","House","Republican","MI","R000572"
"Rogers, Rep. Mike","House","Republican","MI","R000572"
"Rohrabacher, Rep. Dana","House","Republican","CA","R000409"
"Ros-Lehtinen, Rep. Ileana","House","Republican","FL","R000435"
"Ross, Rep. Mike","House","Democrat","AR","R000573"
"Rothman, Rep. Steve","House","Democrat","NJ","R000462"
"Roybal-Allard, Rep. Lucille","House","Democrat","CA","R000486"
"Royce, Rep. Ed","House","Republican","CA","R000487"
"Ruppersberger, Rep. Dutch","House","Democrat","MD","R000576"
"Rush, Rep. Bobby","House","Democrat","IL","R000515"
"Ryan, Rep. Paul","House","Republican","WI","R000570"
"Ryan, Rep. Tim","House","Democrat","OH","R000577"
"Sanchez, Rep. Loretta","House","Democrat","CA","S000030"
"Sanders, Sen. Bernie","Senate","Independent","VT","S000033"
"Schakowsky, Rep. Jan","House","Democrat","IL","S001145"
"Schiff, Rep. Adam Bennett","House","Democrat","CA","S001150"
"Scott, Rep. David","House","Democrat","GA","S001157"
"Scott, Rep. Bobby","House","Democrat","VA","S000185"
