statefp10,cd111fp,geoid10,namelsad10,lsad10,cdsessn,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10
27,8,2708,Congressional District 8,C2,111,G5200,False,71546663636,12416573076,47.2400052,-92.9323194
27,5,2705,Congressional District 5,C2,111,G5200,False,320220379,15485125,44.9781144,-93.2928317
27,4,2704,Congressional District 4,C2,111,G5200,False,510623511,58464019,44.9957711,-93.0835230
27,2,2702,Congressional District 2,C2,111,G5200,False,7826702653,340127460,44.5338366,-93.2513206
27,1,2701,Congressional District 1,C2,111,G5200,False,34462275389,554678308,43.8952354,-93.9040300
27,6,2706,Congressional District 6,C2,111,G5200,False,7951908435,431134882,45.3830033,-93.8845885
27,7,2707,Congressional District 7,C2,111,G5200,False,82410267758,4987979498,46.6966838,-95.6752445
27,3,2703,Congressional District 3,C2,111,G5200,False,1203647438,126012269,45.0212030,-93.5130863
